Date	Time	L1-L2 VOLTAGE : L1-L2 VOLTAGE - DMK 01 [V]	L2-L3 VOLTAGE : L2-L3 VOLTAGE - DMK 01 [V]	L3-L1 VOLTAGE : L3-L1 VOLTAGE - DMK 01 [V]	L1 CURRENT : L1 CURRENT - DMK 01 [A]	L2 CURRENT : L2 CURRENT - DMK 01 [A]	L3 CURRENT : L3 CURRENT - DMK 01 [A]	L1 ACTIVE POWER : L1 ACTIVE POWER - DMK 01 [W]	L2 ACTIVE POWER : L2 ACTIVE POWER - DMK 01 [W]	L3 ACTIVE POWER : L3 ACTIVE POWER - DMK 01 [W]	L1 REACTIVE POWER : L1 REACTIVE POWER - DMK 01 [Var]	L2 REACTIVE POWER : L2 REACTIVE POWER - DMK 01 [Var]	L3 REACTIVE POWER : L3 REACTIVE POWER - DMK 01 [Var]
2.1.2002	8:53:25	2	2	2	0	0	0	0	0	0	0	0	0
2.1.2002	8:53:31	7	6	7	0	0	0	0	0	0	0	0	0
2.1.2002	8:53:37	8	8	8	0,01	0	0,01	0	0	0	0	0	0
2.1.2002	8:53:43	10	10	10	0,01	0	0,01	0	0	0	0	0	0
2.1.2002	8:53:49	14	14	14	0,01	0	0,01	0	0	0	0	0	0
2.1.2002	8:53:55	18	17	18	0,01	0	0,01	0	0	0	0	0	0
2.1.2002	8:54:00	24	24	24	0,02	0,01	0,02	0	0	0	0	0	0
2.1.2002	8:54:06	29	29	29	0,02	0,01	0,02	0	0	0	0	0	0
2.1.2002	8:54:12	37	36	37	0,02	0,01	0,02	1	0	0	0	0	0
2.1.2002	8:54:18	44	42	43	0,03	0,01	0,03	1	0	0	0	0	1
2.1.2002	8:54:24	50	49	49	0,03	0,01	0,03	1	0	0	0	0	1
2.1.2002	8:54:29	56	55	55	0,03	0,01	0,03	1	1	1	0	0	1
2.1.2002	8:54:35	67	65	66	0,03	0,02	0,03	1	1	1	0	0	1
2.1.2002	8:54:41	72	64	74	0,04	0,02	0,04	2	1	1	1	0	1
2.1.2002	8:54:47	89	87	88	0,04	0,02	0,04	2	1	1	0	0	1
2.1.2002	8:54:53	102	101	101	0,05	0,03	0,05	3	2	2	1	1	2
2.1.2002	8:54:59	111	109	109	0,05	0,03	0,05	3	2	2	1	1	2
2.1.2002	8:55:05	120	118	119	0,05	0,03	0,05	4	2	2	0	1	3
2.1.2002	8:55:10	132	130	130	0,06	0,03	0,06	4	2	3	2	0	4
2.1.2002	8:55:16	146	145	145	0,07	0,04	0,06	5	3	3	3	2	4
2.1.2002	8:55:22	160	158	159	0,07	0,04	0,07	6	3	4	2	2	5
2.1.2002	8:55:28	178	177	176	0,08	0,05	0,08	7	4	4	4	3	7
2.1.2002	8:55:34	191	190	189	0,09	0,05	0,09	8	5	5	5	3	8
2.1.2002	8:55:40	206	205	205	0,1	0,06	0,1	10	5	6	7	5	10
2.1.2002	8:55:46	220	219	218	0,11	0,06	0,11	11	6	6	9	5	12
2.1.2002	8:55:52	231	230	229	0,12	0,07	0,12	12	6	7	10	7	14
2.1.2002	8:55:57	243	242	241	0,13	0,08	0,13	14	7	7	12	9	17
2.1.2002	8:56:03	254	253	252	0,14	0,09	0,14	15	8	8	14	11	19
2.1.2002	8:56:09	263	261	260	0,15	0,1	0,15	17	8	8	16	13	23
2.1.2002	8:56:15	271	270	269	0,17	0,1	0,17	18	9	8	20	13	25
2.1.2002	8:56:21	271	270	269	0,17	0,1	0,17	18	9	9	20	13	25
2.1.2002	8:56:26	280	279	277	0,18	0,11	0,19	20	10	9	21	17	29
													
													
													
													
													
													
													
													
													
													
													
													
													
													
