Date;Time;L1-L2 VOLTAGE : L1-L2 VOLTAGE - DMK 01 [V];L2-L3 VOLTAGE : L2-L3 VOLTAGE - DMK 01 [V];L3-L1 VOLTAGE : L3-L1 VOLTAGE - DMK 01 [V];L1 CURRENT : L1 CURRENT - DMK 01 [A];L2 CURRENT : L2 CURRENT - DMK 01 [A];L3 CURRENT : L3 CURRENT - DMK 01 [A];L1 ACTIVE POWER : L1 ACTIVE POWER - DMK 01 [W];L2 ACTIVE POWER : L2 ACTIVE POWER - DMK 01 [W];L3 ACTIVE POWER : L3 ACTIVE POWER - DMK 01 [W];L1 REACTIVE POWER : L1 REACTIVE POWER - DMK 01 [Var];L2 REACTIVE POWER : L2 REACTIVE POWER - DMK 01 [Var];L3 REACTIVE POWER : L3 REACTIVE POWER - DMK 01 [Var];
10.10.2016;16:19:41 ;402;401;402;1,59;1,58;1,63;61;62;64;364;361;374;
10.10.2016;16:19:51 ;379;379;380;1,40;1,38;1,42;51;48;50;301;296;308;
10.10.2016;16:19:58 ;361;360;361;1,24;1,24;1,27;41;40;45;255;253;262;
10.10.2016;16:20:07 ;340;339;340;1,10;1,10;1,13;34;34;36;213;212;219;
10.10.2016;16:20:17 ;319;318;320;0,99;0,99;1,02;31;28;32;180;177;184;
10.10.2016;16:20:25 ;301;300;301;0,92;0,90;0,93;27;25;27;158;155;160;
10.10.2016;16:20:32 ;278;278;279;0,82;0,81;0,84;23;21;23;130;128;134;
10.10.2016;16:20:40 ;260;259;261;0,75;0,74;0,76;20;18;20;111;109;113;
10.10.2016;16:20:47 ;239;239;240;0,68;0,67;0,69;17;16;17;91;91;95;
10.10.2016;16:20:54 ;222;221;222;0,62;0,62;0,63;16;14;14;77;78;80;
10.10.2016;16:21:02 ;201;200;201;0,55;0,55;0,56;13;13;13;63;63;65;
10.10.2016;16:21:12 ;178;178;178;0,48;0,49;0,49;11;11;11;48;49;50;
10.10.2016;16:21:18 ;160;160;160;0,42;0,43;0,44;10;9;9;38;40;40;
10.10.2016;16:21:27 ;139;138;139;0,37;0,38;0,38;8;8;7;29;30;30;
10.10.2016;16:21:37 ;119;119;119;0,31;0,32;0,32;7;6;6;20;21;21;
10.10.2016;16:21:45 ;98;97;97;0,26;0,26;0,27;5;5;5;14;14;15;
10.10.2016;16:21:57 ;80;80;80;0,21;0,22;0,22;4;4;4;9;9;9;
