,CH1
Second,Volt
-8.00000e+00,2.18e+00, 
-7.98535e+00,2.18e+00, 
-7.97070e+00,2.18e+00, 
-7.95605e+00,2.18e+00, 
-7.94140e+00,2.18e+00, 
-7.92675e+00,2.20e+00, 
-7.91211e+00,2.18e+00, 
-7.89746e+00,2.20e+00, 
-7.88281e+00,2.18e+00, 
-7.86816e+00,2.18e+00, 
-7.85351e+00,2.20e+00, 
-7.83886e+00,2.20e+00, 
-7.82421e+00,2.18e+00, 
-7.80957e+00,2.18e+00, 
-7.79492e+00,2.20e+00, 
-7.78027e+00,2.20e+00, 
-7.76562e+00,2.20e+00, 
-7.75097e+00,2.18e+00, 
-7.73632e+00,2.18e+00, 
-7.72168e+00,2.20e+00, 
-7.70703e+00,2.20e+00, 
-7.69238e+00,2.18e+00, 
-7.67773e+00,2.20e+00, 
-7.66308e+00,2.18e+00, 
-7.64843e+00,2.20e+00, 
-7.63379e+00,2.20e+00, 
-7.61914e+00,2.18e+00, 
-7.60449e+00,2.18e+00, 
-7.58984e+00,2.18e+00, 
-7.57519e+00,2.18e+00, 
-7.56054e+00,2.18e+00, 
-7.54589e+00,2.18e+00, 
-7.53125e+00,2.18e+00, 
-7.51660e+00,2.20e+00, 
-7.50195e+00,2.20e+00, 
-7.48730e+00,2.18e+00, 
-7.47265e+00,2.18e+00, 
-7.45800e+00,2.18e+00, 
-7.44336e+00,2.18e+00, 
-7.42871e+00,2.18e+00, 
-7.41406e+00,2.20e+00, 
-7.39941e+00,2.18e+00, 
-7.38476e+00,2.18e+00, 
-7.37011e+00,2.18e+00, 
-7.35546e+00,2.20e+00, 
-7.34082e+00,2.20e+00, 
-7.32617e+00,2.18e+00, 
-7.31152e+00,2.18e+00, 
-7.29687e+00,2.20e+00, 
-7.28222e+00,2.18e+00, 
-7.26757e+00,2.18e+00, 
-7.25293e+00,2.20e+00, 
-7.23828e+00,2.18e+00, 
-7.22363e+00,2.18e+00, 
-7.20898e+00,2.18e+00, 
-7.19433e+00,2.18e+00, 
-7.17968e+00,2.18e+00, 
-7.16504e+00,2.18e+00, 
-7.15039e+00,2.18e+00, 
-7.13574e+00,2.20e+00, 
-7.12109e+00,2.18e+00, 
-7.10644e+00,2.18e+00, 
-7.09179e+00,2.18e+00, 
-7.07714e+00,2.20e+00, 
-7.06250e+00,2.18e+00, 
-7.04785e+00,2.18e+00, 
-7.03320e+00,2.18e+00, 
-7.01855e+00,2.18e+00, 
-7.00390e+00,2.18e+00, 
-6.98925e+00,2.18e+00, 
-6.97461e+00,2.18e+00, 
-6.95996e+00,2.18e+00, 
-6.94531e+00,2.18e+00, 
-6.93066e+00,2.18e+00, 
-6.91601e+00,2.20e+00, 
-6.90136e+00,2.18e+00, 
-6.88671e+00,2.18e+00, 
-6.87207e+00,2.20e+00, 
-6.85742e+00,2.18e+00, 
-6.84277e+00,2.20e+00, 
-6.82812e+00,2.18e+00, 
-6.81347e+00,2.20e+00, 
-6.79882e+00,2.18e+00, 
-6.78418e+00,2.20e+00, 
-6.76953e+00,2.18e+00, 
-6.75488e+00,2.18e+00, 
-6.74023e+00,2.18e+00, 
-6.72558e+00,2.18e+00, 
-6.71093e+00,2.18e+00, 
-6.69629e+00,2.20e+00, 
-6.68164e+00,2.20e+00, 
-6.66699e+00,2.18e+00, 
-6.65234e+00,2.18e+00, 
-6.63769e+00,2.18e+00, 
-6.62304e+00,2.18e+00, 
-6.60839e+00,2.18e+00, 
-6.59375e+00,2.18e+00, 
-6.57910e+00,2.18e+00, 
-6.56445e+00,2.20e+00, 
-6.54980e+00,2.18e+00, 
-6.53515e+00,2.18e+00, 
-6.52050e+00,2.18e+00, 
-6.50586e+00,2.18e+00, 
-6.49121e+00,2.20e+00, 
-6.47656e+00,2.18e+00, 
-6.46191e+00,2.18e+00, 
-6.44726e+00,2.20e+00, 
-6.43261e+00,2.18e+00, 
-6.41796e+00,2.18e+00, 
-6.40332e+00,2.20e+00, 
-6.38867e+00,2.18e+00, 
-6.37402e+00,2.18e+00, 
-6.35937e+00,2.20e+00, 
-6.34472e+00,2.18e+00, 
-6.33007e+00,2.20e+00, 
-6.31543e+00,2.20e+00, 
-6.30078e+00,2.18e+00, 
-6.28613e+00,2.18e+00, 
-6.27148e+00,2.20e+00, 
-6.25683e+00,2.18e+00, 
-6.24218e+00,2.20e+00, 
-6.22754e+00,2.18e+00, 
-6.21289e+00,2.20e+00, 
-6.19824e+00,2.18e+00, 
-6.18359e+00,2.16e+00, 
-6.16894e+00,2.20e+00, 
-6.15429e+00,2.20e+00, 
-6.13964e+00,2.18e+00, 
-6.12500e+00,2.18e+00, 
-6.11035e+00,2.20e+00, 
-6.09570e+00,2.18e+00, 
-6.08105e+00,2.18e+00, 
-6.06640e+00,2.18e+00, 
-6.05175e+00,2.20e+00, 
-6.03711e+00,2.18e+00, 
-6.02246e+00,2.18e+00, 
-6.00781e+00,2.20e+00, 
-5.99316e+00,2.20e+00, 
-5.97851e+00,2.20e+00, 
-5.96386e+00,2.18e+00, 
-5.94921e+00,2.20e+00, 
-5.93457e+00,2.20e+00, 
-5.91992e+00,2.18e+00, 
-5.90527e+00,2.18e+00, 
-5.89062e+00,2.18e+00, 
-5.87597e+00,2.18e+00, 
-5.86132e+00,2.18e+00, 
-5.84668e+00,2.20e+00, 
-5.83203e+00,2.18e+00, 
-5.81738e+00,2.18e+00, 
-5.80273e+00,2.18e+00, 
-5.78808e+00,2.20e+00, 
-5.77343e+00,2.22e+00, 
-5.75879e+00,2.22e+00, 
-5.74414e+00,2.20e+00, 
-5.72949e+00,2.18e+00, 
-5.71484e+00,2.20e+00, 
-5.70019e+00,2.18e+00, 
-5.68554e+00,2.20e+00, 
-5.67089e+00,2.18e+00, 
-5.65625e+00,2.20e+00, 
-5.64160e+00,2.18e+00, 
-5.62695e+00,2.18e+00, 
-5.61230e+00,2.20e+00, 
-5.59765e+00,2.18e+00, 
-5.58300e+00,2.18e+00, 
-5.56836e+00,2.18e+00, 
-5.55371e+00,2.18e+00, 
-5.53906e+00,2.18e+00, 
-5.52441e+00,2.18e+00, 
-5.50976e+00,2.18e+00, 
-5.49511e+00,2.20e+00, 
-5.48046e+00,2.18e+00, 
-5.46582e+00,2.18e+00, 
-5.45117e+00,2.18e+00, 
-5.43652e+00,2.18e+00, 
-5.42187e+00,2.18e+00, 
-5.40722e+00,2.18e+00, 
-5.39257e+00,2.18e+00, 
-5.37793e+00,2.18e+00, 
-5.36328e+00,2.18e+00, 
-5.34863e+00,2.20e+00, 
-5.33398e+00,2.18e+00, 
-5.31933e+00,2.18e+00, 
-5.30468e+00,2.18e+00, 
-5.29004e+00,2.18e+00, 
-5.27539e+00,2.20e+00, 
-5.26074e+00,2.18e+00, 
-5.24609e+00,2.20e+00, 
-5.23144e+00,2.18e+00, 
-5.21679e+00,2.18e+00, 
-5.20214e+00,2.18e+00, 
-5.18750e+00,2.18e+00, 
-5.17285e+00,2.18e+00, 
-5.15820e+00,2.20e+00, 
-5.14355e+00,2.18e+00, 
